A1	Codigouf	Codigomunicipio	Nome	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102	A103	A104	A105	A106	A107	A108	A109	A110	A111	A112	A113	A114	A115	A116	A117
1100015	11	15	ALTA FLORESTA DOESTE	Sim	Sim	2000	Sim	1988	Sim	Sim	2009	Sim	Sim	Não foi atualizado	Sim	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Sim	Não	Não	Não	Sim	Não	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
1100023	11	23	ARIQUEMES	Sim	Sim	2014	Sim	2005	Sim	Não	2001	Sim	Sim	2015	Sim	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Sim	Não	Sim	Sim	Sim	Não	Sim	Sim	Não	Não	Não	Sim	Não	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Sim	Não	Sim	Não	Não	Sim	Não	Não	Sim	Não	-	Sim
1100031	11	31	CABIXI	Sim	Sim	2014	Sim	1989	Sim	Sim	2014	Sim	Sim	2014	Sim	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não sabe informar	Não
1100049	11	49	CACOAL	Sim	Sim	2010	Sim	2009	Sim	Sim	Não foi atualizada	Sim	Sim	2015	Sim	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim	Sim	Não	Sim	Sim	Não	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim	Sim	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
1100056	11	56	CEREJEIRAS	Sim	Sim	2015	Sim	1985	Sim	Sim	2015	Sim	Sim	2015	Não cobra nenhuma taxa	-	-	-	-	-	-	Sim	Não	Não	Não	Não	Não	Não	Sim	Sim	Sim	Não	Sim	Não	Sim	Sim	Sim	Não	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
1100064	11	64	COLORADO DO OESTE	Sim	Sim	2003	Sim	2009	Sim	Sim	1993	Sim	Sim	Não foi atualizado	Sim	Sim	Sim	Não	Sim	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não sabe informar	Não sabe informar
1100072	11	72	CORUMBIARA	Sim	Sim	2015	Sim	1993	Sim	Não	2015	Sim	Sim	2015	Sim	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Sim	Não	Não	Sim	Não	Sim	Sim	Sim	Não	Não	Não	Nenhum empreendimento	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não sabe informar	Não sabe informar
1100080	11	80	COSTA MARQUES	Sim	Sim	2005	Sim	2005	Sim	Sim	2015	Sim	Não	2015	Sim	Sim	Não	Não	Não	Não	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1100098	11	98	ESPIGAO D'OESTE	Sim	Sim	2013	Sim	2010	Sim	Sim	Não foi atualizada	Não	-	-	Sim	Sim	Sim	Não	Sim	Sim	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não	Sim
1100106	11	106	GUAJARA-MIRIM	Sim	Sim	2015	Sim	2011	Sim	Sim	Não foi atualizada	Sim	Não	2014	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Não	Não	Nenhum empreendimento	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não	Sim
1100114	11	114	JARU	Sim	Sim	1997	Sim	2008	Sim	Sim	2015	Sim	Sim	2015	Sim	Sim	Sim	Não	Sim	Sim	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1100122	11	122	JI-PARANA	Sim	Sim	2001	Sim	1983	Sim	Sim	2014	Sim	Sim	2012	Sim	Sim	Não	Não	Não	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1100130	11	130	MACHADINHO D'OESTE	Sim	Sim	2003	Sim	1999	Sim	Sim	2003	Sim	Sim	Não foi atualizado	Sim	Sim	Sim	Não	Sim	Sim	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1100148	11	148	NOVA BRASILANDIA D'OESTE	Sim	Sim	2013	Sim	2010	Sim	Sim	2009	Sim	Sim	2015	Sim	Sim	Sim	Não	Sim	Não	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Sim	Sim	Sim	Sim	Não	Sim	Não	Sim	Sim	Não	-	Sim
1100155	11	155	OURO PRETO DO OESTE	Sim	Sim	2015	Sim	2015	Sim	Não	2015	Sim	Sim	2015	Sim	Sim	Sim	Sim	Não	Sim	Não	Sim	Sim	Não	Sim	Não	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Nenhum empreendimento	-	-	-	-	-	Sim	Sim	Sim	Não	Não	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Não	Não	-	Sim
1100189	11	189	PIMENTA BUENO	Sim	Sim	2009	Sim	2013	Sim	Sim	2009	Sim	Sim	Não foi atualizado	Sim	Sim	Sim	Não	Não	Sim	Não	Sim	Sim	Sim	Não	Sim	Sim	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não sabe informar	Sim
1100205	11	205	PORTO VELHO	Sim	Sim	2004	Sim	2004	Sim	Sim	2004	Sim	Sim	2014	Sim	Sim	Sim	Não	Sim	Sim	Não	Sim	Sim	Não	Não	Não	Não	Não	Não	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim	Sim	Não	Sim	Sim	Sim	Não	Não	Sim	Sim	Sim	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Sim	Não	Sim	Sim	Sim
1100254	11	254	PRESIDENTE MEDICI	Sim	Sim	2015	Sim	2015	Sim	Sim	2015	Sim	Sim	2015	Sim	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Sim	Não	Não	Não	Sim	Não	Não	Não	Não	Sim	Não	Sim	Não	Não	Não	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
1100262	11	262	RIO CRESPO	Sim	Sim	2015	Sim	2010	Sim	Sim	2010	Sim	Sim	2015	Sim	Não	Sim	Não	Sim	Não	Não	Sim	Não	Não	Não	Não	Não	Sim	Não	Sim	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1100288	11	288	ROLIM DE MOURA	Sim	Sim	2015	Sim	2009	Sim	Sim	Não foi atualizada	Sim	Sim	Não foi atualizado	Sim	Sim	Não	Não	Não	Sim	Não	Sim	Não	Sim	Não	Não	Não	Não	Não	Não	Não	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
1100296	11	296	SANTA LUZIA D'OESTE	Sim	Sim	2012	Sim	2001	Sim	Não	2010	Sim	Sim	2015	Sim	Sim	Sim	Não	Sim	Sim	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não sabe informar
1100304	11	304	VILHENA	Sim	Sim	2015	Sim	2001	Sim	Sim	2014	Sim	Sim	2015	Sim	Sim	Sim	Não	Não	Sim	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não sabe informar	Sim
1100320	11	320	SAO MIGUEL DO GUAPORE	Sim	Sim	2011	Sim	2011	Sim	Sim	2011	Sim	Sim	Não foi atualizado	Sim	Sim	Não	Não	Não	Não	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1100338	11	338	NOVA MAMORE	Sim	Sim	2015	Sim	1990	Sim	Sim	2015	Sim	Sim	2015	Sim	Sim	Sim	Não	Sim	Não	Não	Sim	Não	Não	Não	Não	Sim	Não	Sim	Sim	Não	Não	Não	Sim	Nenhum empreendimento	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1100346	11	346	ALVORADA D'OESTE	Sim	Sim	1997	Sim	1997	Sim	Sim	2007	Sim	Sim	2015	Sim	Sim	Não	Não	Sim	Sim	Não	Sim	Não	Sim	Não	Não	Não	Sim	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	Não	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1100379	11	379	ALTO ALEGRE DOS PARECIS	Sim	Sim	2015	Sim	1998	Sim	Não	2005	Sim	Sim	2015	Sim	Não	Não	Não	Não	Não	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1100403	11	403	ALTO PARAISO	Sim	Sim	2011	Sim	1994	Sim	Sim	Não foi atualizada	Sim	Sim	2015	Sim	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Sim	Não	Não	Sim	Não	Não	Não	Sim	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Não	Sim	Não	Nenhum empreendimento	-	-	-	-	-	-	Sim	Não	Sim
1100452	11	452	BURITIS	Sim	Sim	2014	Sim	2013	Sim	Sim	2014	Sim	Sim	2015	Sim	Sim	Sim	Sim	Não	Sim	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Sim	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Não	Sim	Não	Sim	Sim	Não	-	Sim
1100502	11	502	NOVO HORIZONTE DO OESTE	Sim	Não	2013	Sim	2013	Sim	Não	Não foi atualizada	Sim	Sim	Não foi atualizado	Sim	Sim	Sim	Não	Sim	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não sabe informar	Não sabe informar
1100601	11	601	CACAULANDIA	Sim	Sim	2015	Sim	1995	Sim	Sim	2015	Sim	Sim	2015	Sim	Não	Sim	Não	Não	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Não	Não	Não	Não	Não	Sim	Nenhum empreendimento	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1100700	11	700	CAMPO NOVO DE RONDONIA	Sim	Sim	2014	Sim	1997	Sim	Sim	2014	Sim	Sim	2012	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Sim	Sim	Sim	Não	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1100809	11	809	CANDEIAS DO JAMARI	Sim	Sim	2012	Sim	1998	Sim	Sim	2012	Sim	Sim	2013	Sim	Sim	Não	Não	Não	Sim	Não	Sim	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Não	Não	Não	Nenhum empreendimento	-	-	-	-	-	Sim	Sim	Não	Não	Não	Não	Não	Não	Sim	Sim	Nenhum empreendimento	-	-	-	-	-	-	Não	-	Sim
1100908	11	908	CASTANHEIRAS	Sim	Sim	2014	Sim	2006	Sim	Sim	Não foi atualizada	Sim	Sim	Não foi atualizado	Sim	Sim	Não	Não	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
1100924	11	924	CHUPINGUAIA	Sim	Sim	2014	Sim	2009	Sim	Sim	2015	Sim	Sim	2014	Sim	Sim	Não	Não	Não	Não	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
1100940	11	940	CUJUBIM	Sim	Sim	2012	Sim	2012	Sim	Sim	Não foi atualizada	Sim	Sim	2012	Sim	Sim	Sim	Não	Não	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1101005	11	1005	GOVERNADOR JORGE TEIXEIRA	Sim	Sim	2015	Sim	1995	Sim	Sim	2013	Sim	Sim	Não foi atualizado	Sim	Sim	Sim	Não	Não	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não	Sim
1101104	11	1104	ITAPUA DO OESTE	Sim	Sim	2014	Sim	2005	Sim	Sim	Não foi atualizada	Sim	Sim	2014	Sim	Sim	Sim	Não	Não	Sim	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
1101203	11	1203	MINISTRO ANDREAZZA	Sim	Sim	2014	Sim	1994	Sim	Sim	2013	Sim	Não	2005	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Não	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
1101302	11	1302	MIRANTE DA SERRA	Sim	Sim	2015	Sim	1998	Sim	Não	Não foi atualizada	Sim	Sim	2015	Sim	Sim	Não	Não	Não	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1101401	11	1401	MONTE NEGRO	Sim	Sim	2009	Sim	1992	Sim	Sim	2012	Sim	Sim	2014	Sim	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Sim	Não	Não	Não	Não	Nenhum empreendimento	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1101435	11	1435	NOVA UNIAO	Sim	Sim	2015	Sim	1999	Sim	Não	2015	Sim	Sim	2015	Sim	Sim	Sim	Não	Sim	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não sabe informar
1101450	11	1450	PARECIS	Sim	Sim	2015	Sim	2001	Sim	Sim	Não foi atualizada	Sim	Sim	2013	Sim	Sim	Não	Não	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não sabe informar
1101468	11	1468	PIMENTEIRAS DO OESTE	Sim	Sim	2014	Sim	2011	Sim	Sim	2015	Sim	Sim	2014	Sim	Sim	Sim	Não	Não	Sim	Não	Sim	Sim	Sim	Não	Não	Não	Não	Não	Não	Não	Não	Não	Sim	Nenhum empreendimento	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não sabe informar
1101476	11	1476	PRIMAVERA DE RONDONIA	Sim	Sim	2006	Sim	2005	Sim	Sim	Não foi atualizada	Sim	Sim	2015	Sim	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Sim	Não	Sim	Não	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não	Não sabe informar
1101484	11	1484	SAO FELIPE D'OESTE	Sim	Sim	2014	Sim	1997	Sim	Sim	2014	Sim	Sim	Não foi atualizado	Sim	Sim	Sim	Não	Sim	Não	Não	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim	Não	Não	Sim	Não	Não	Sim	Não	Não	Sim	Não	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
1101492	11	1492	SAO FRANCISCO DO GUAPORE	Sim	Sim	2014	Sim	2012	Sim	Sim	2014	Sim	Sim	2014	Sim	Sim	Não	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1101500	11	1500	SERINGUEIRAS	Sim	Sim	2015	Sim	1997	Sim	Sim	Não foi atualizada	Sim	Sim	Não foi atualizado	Sim	Sim	Não	Não	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não sabe informar
1101559	11	1559	TEIXEIROPOLIS	Sim	Sim	2014	Sim	2005	Sim	Não	Não foi atualizada	Sim	Sim	Não foi atualizado	Sim	Sim	Não	Não	Não	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1101609	11	1609	THEOBROMA	Sim	Sim	2015	Sim	2012	Sim	Sim	2012	Sim	Sim	2015	Sim	Sim	Sim	Não	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1101708	11	1708	URUPA	Sim	Sim	2014	Sim	2014	Sim	Sim	Não foi atualizada	Sim	Não	Não foi atualizado	Sim	Sim	Sim	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1101757	11	1757	VALE DO ANARI	Sim	Não	2013	Sim	1994	Sim	Sim	2009	Sim	Sim	Não foi atualizado	Sim	Sim	Não	Não	Sim	Não	Sim	Sim	Sim	Não	Não	Sim	Não	Não	Não	Não	Sim	Não	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1101807	11	1807	VALE DO PARAISO	Sim	Sim	2009	Sim	2006	Sim	Sim	2009	Sim	Não	Não foi atualizado	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Não	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não sabe informar
1200013	12	13	ACRELANDIA	Sim	Sim	Não soube informar*	Sim	2012	Não	-	-	Sim	Sim	2012	Sim	Sim	Não	Não	Não	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não sabe informar	Não
1200054	12	54	ASSIS BRASIL	Sim	Sim	2015	Sim	2004	Sim	Sim	2015	Sim	Sim	2013	Sim	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Sim	Não	Não	Sim	Não	Não	Não	Não	Nenhum empreendimento	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1200104	12	104	BRASILEIA	Sim	Sim	Não soube informar*	Sim	2007	Sim	Não	2007	Sim	Sim	2007	Sim	Sim	Sim	Não	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	Não	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não	Não
1200138	12	138	BUJARI	Sim	Sim	2014	Sim	2013	Sim	Sim	2014	Não	-	-	Sim	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Sim	Não	Não	Sim	Sim	Não	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não sabe informar	Sim
1200179	12	179	CAPIXABA	Sim	Sim	2014	Sim	2001	Sim	Sim	2014	Sim	Sim	2015	Sim	Sim	Sim	Não	Sim	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não sabe informar	Não sabe informar
1200203	12	203	CRUZEIRO DO SUL	Sim	Sim	2009	Sim	2007	Sim	Sim	1994	Sim	Sim	Não foi atualizado	Sim	Sim	Sim	Não	Sim	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1200252	12	252	EPITACIOLANDIA	Sim	Sim	2007	Sim	1993	Sim	Sim	Não foi atualizada	Sim	Sim	Não foi atualizado	Sim	Sim	Sim	Não	Sim	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não sabe informar	Não sabe informar
1200302	12	302	FEIJO	Sim	Sim	2009	Sim	1999	Sim	Sim	2015	Sim	Sim	2015	Sim	Sim	Sim	Não	Não	Não	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não	Sim	Não	Não	Não	Não	Não	Sim	Não	Nenhum empreendimento	-	-	-	-	-	-	Sim	Não	Não
1200328	12	328	JORDAO	Sim	Sim	2015	Sim	2004	Sim	Sim	2015	Sim	Sim	2015	Sim	Sim	Sim	Não	Sim	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
1200336	12	336	MANCIO LIMA	Sim	Sim	2005	Não	-	Sim	Sim	2015	Sim	Sim	2015	Não cobra nenhuma taxa	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1200344	12	344	MANOEL URBANO	Sim	Sim	1995	Sim	Não soube informar*	Sim	Sim	2012	Sim	Sim	2014	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
1200351	12	351	MARECHAL THAUMATURGO	Não	-	-	Não	-	Não	-	-	Sim	Sim	2015	Sim	Sim	Sim	Não	Não	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1200385	12	385	PLACIDO DE CASTRO	Sim	Não	2014	Sim	2001	Não	-	-	Sim	Sim	2015	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Sim	Sim	Não	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não	Sim
1200393	12	393	PORTO WALTER	Sim	Sim	2015	Não	-	Sim	Sim	2015	Sim	Sim	2015	Sim	Sim	Sim	Não	Sim	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1200401	12	401	RIO BRANCO	Sim	Sim	2015	Sim	2013	Sim	Não	Não foi atualizada	Sim	Sim	2015	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Não	Sim	Sim	Não	Sim	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Sim	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Sim
1200427	12	427	RODRIGUES ALVES	Não	-	-	Sim	1999	Sim	Não	Não foi atualizada	Sim	Sim	2014	Sim	Sim	Sim	Não	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
1200435	12	435	SANTA ROSA DO PURUS	Sim	Sim	2015	Sim	2015	Não	-	-	Sim	Sim	2015	Sim	Não	Sim	Não	Sim	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não	Não
1200450	12	450	SENADOR GUIOMARD	Sim	Não	1986	Sim	2005	Não	-	-	Sim	Sim	2015	Sim	Sim	Sim	Não	Sim	Sim	Não	Sim	Sim	Não	Não	Sim	Não	Não	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não sabe informar	Não sabe informar
1200500	12	500	SENA MADUREIRA	Sim	Sim	1982	Sim	1982	Sim	Não	Não foi atualizada	Não	-	-	Sim	Sim	Sim	Não	Sim	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
1200609	12	609	TARAUACA	Sim	Sim	2014	Sim	2002	Sim	Sim	2013	Sim	Sim	2014	Sim	Não	Sim	Não	Sim	Não	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não	Não sabe informar
1200708	12	708	XAPURI	Sim	Sim	2009	Sim	2001	Sim	Sim	2015	Sim	Sim	Não foi atualizado	Sim	Sim	Sim	Não	Sim	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não sabe informar	Sim
