A1	Codigouf	Codigomunicipio	Nome	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102	A103	A104	A105	A106	A107	A108	A109	A110	A111	A112	A113	A114	A115	A116	A117
2907202	29	7202	CASA NOVA	Sim	Sim	2002	Sim	2002	Sim	Sim	2014	Sim	Sim	2014	Sim	Sim	Não	Não	Sim	Não	Não	Sim	Sim	Não	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Não	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim	Sim	Não	Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim
2907301	29	7301	CASTRO ALVES	Sim	Sim	2010	Sim	2007	Sim	Sim	Não foi atualizada	Sim	Sim	Não foi atualizado	Sim	Sim	Não	Não	Não	Sim	Não	Sim	Não	Não	Sim	Não	Não	Não	Não	Sim	Não	Não	Não	Não	Nenhum empreendimento	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
2907400	29	7400	CATOLANDIA	Sim	Sim	2015	Sim	2003	Não	-	-	Sim	Sim	2015	Sim	Sim	Não	Não	Não	Não	Não	Sim	Não	Não	Não	Não	Não	Sim	Não	Sim	Sim	Não	Sim	Sim	Sim	Não	Sim	Não	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
2907509	29	7509	CATU	Sim	Sim	2009	Sim	2003	Sim	Sim	2009	Sim	Sim	2007	Sim	Sim	Não	Não	Não	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
2907558	29	7558	CATURAMA	Sim	Sim	2014	Sim	2001	Sim	Não	Não foi atualizada	Sim	Sim	Não foi atualizado	Sim	Sim	Não	Não	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
2907608	29	7608	CENTRAL	Sim	Sim	2015	Sim	2002	Sim	Sim	2012	Sim	Não	Não foi atualizado	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Não	Não	Não	Não	Não	Sim	Nenhum empreendimento	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Sim	Sim
2907707	29	7707	CHORROCHO	Sim	Sim	2005	Sim	2005	Não	-	-	Sim	Sim	2005	Sim	Não	Não	Não	Não	Não	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não sabe informar	Sim
2907806	29	7806	CICERO DANTAS	Sim	Sim	2014	Sim	2005	Sim	Não	2005	Sim	Sim	2015	Sim	Sim	Não	Não	Não	Sim	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
2907905	29	7905	CIPO	Sim	Não	2000	Sim	2011	Sim	Não	2011	Sim	Não	2011	Sim	Não	Não	Não	Não	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
2908002	29	8002	COARACI	Sim	Sim	1984	Sim	2003	Sim	Sim	Não foi atualizada	Sim	Sim	2009	Sim	Não	Não	Não	Não	Sim	Não	Sim	Não	Não	Não	Sim	Não	Não	Não	Não	Sim	Não	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
2908101	29	8101	COCOS	Sim	Sim	Não soube informar*	Sim	2003	Não	-	-	Sim	Sim	Não foi atualizado	Sim	Não	Não	Não	Não	Sim	Não	Sim	Não	Não	Não	Sim	Não	Não	Não	Sim	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
2908200	29	8200	CONCEICAO DA FEIRA	Sim	Sim	2005	Sim	1982	Sim	Não	2005	Sim	Sim	2015	Sim	Sim	Não	Não	Não	Sim	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Sim	Não	Não	Sim	Não	Não	Não	Sim	Não	Sim	Sim	Não	Não	Não	Sim	Não	Sim	Não	Não
2908309	29	8309	CONCEICAO DO ALMEIDA	Sim	Sim	2005	Sim	2002	Sim	Sim	Não foi atualizada	Sim	Sim	Não foi atualizado	Sim	Não	Não	Não	Não	Sim	Não	Sim	Não	Sim	Não	Não	Não	Não	Não	Sim	Não	Não	Não	Não	Nenhum empreendimento	-	-	-	-	-	Sim	Sim	Não	Não	Sim	Não	Não	Não	Não	Não	Nenhum empreendimento	-	-	-	-	-	-	Não	-	Não
2908408	29	8408	CONCEICAO DO COITE	Sim	Sim	2014	Sim	1994	Sim	Sim	Não foi atualizada	Sim	Sim	2014	Sim	Não	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não	Sim
2908507	29	8507	CONCEICAO DO JACUIPE	Sim	Sim	2007	Sim	2006	Não	-	-	Sim	Sim	2006	Sim	Sim	Não	Não	Não	Sim	Não	Sim	Sim	Não	Não	Sim	Não	Não	Não	Sim	Não	Não	Não	Não	Nenhum empreendimento	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
2908606	29	8606	CONDE	Sim	Sim	Não soube informar*	Sim	2009	Sim	Sim	Não foi atualizada	Sim	Sim	Não foi atualizado	Sim	Não	Não	Não	Não	Sim	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Não	Não	-	Sim
2908705	29	8705	CONDEUBA	Sim	Sim	1999	Sim	2004	Não	-	-	Sim	Sim	2004	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
2908804	29	8804	CONTENDAS DO SINCORA	Sim	Sim	2006	Sim	2005	Sim	Sim	2014	Sim	Sim	2005	Não cobra nenhuma taxa	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não sabe informar
2908903	29	8903	CORACAO DE MARIA	Sim	Sim	2005	Sim	2010	Sim	Sim	2010	Sim	Sim	2010	Sim	Sim	Não	Não	Não	Não	Não	Sim	Não	Não	Não	Não	Sim	Não	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Não	Não
2909000	29	9000	CORDEIROS	Sim	Sim	2014	Sim	2009	Não	-	-	Sim	Sim	2014	Não cobra nenhuma taxa	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Não
2909109	29	9109	CORIBE	Sim	Sim	2001	Sim	2013	Sim	Não	Não foi atualizada	Sim	Sim	2013	Sim	Sim	Não	Não	Não	Não	Sim	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Sim	Sim	Não	Não	Não	Não	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Não	Não	-	Não
2909208	29	9208	CORONEL JOAO SA	Não	-	-	Sim	2002	Não	-	-	Sim	Não	Não foi atualizado	Sim	Sim	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Não	Não	Não	Nenhum empreendimento	-	-	-	-	-	Não	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Não	-	Sim
