A1	A199	A200	A201	A202	A203	A204
1100015	Norte	11	RO	ALTA FLORESTA DOESTE	4 - 20001 até 50000	25578
1100023	Norte	11	RO	ARIQUEMES	6 - 100001 até 500000	104401
1100031	Norte	11	RO	CABIXI	2 - 5001 até 10000	6355
1100049	Norte	11	RO	CACOAL	5 - 50001 até 100000	87226
1100056	Norte	11	RO	CEREJEIRAS	3 - 10001 até 20000	17986
1100064	Norte	11	RO	COLORADO DO OESTE	3 - 10001 até 20000	18817
1100072	Norte	11	RO	CORUMBIARA	2 - 5001 até 10000	8842
1100080	Norte	11	RO	COSTA MARQUES	3 - 10001 até 20000	16651
1100098	Norte	11	RO	ESPIGAO D'OESTE	4 - 20001 até 50000	32385
1100106	Norte	11	RO	GUAJARA-MIRIM	4 - 20001 até 50000	46632
1100114	Norte	11	RO	JARU	5 - 50001 até 100000	55738
1100122	Norte	11	RO	JI-PARANA	6 - 100001 até 500000	130419
1100130	Norte	11	RO	MACHADINHO D'OESTE	4 - 20001 até 50000	37167
1100148	Norte	11	RO	NOVA BRASILANDIA D'OESTE	4 - 20001 até 50000	21592
1100155	Norte	11	RO	OURO PRETO DO OESTE	4 - 20001 até 50000	39924
1100189	Norte	11	RO	PIMENTA BUENO	4 - 20001 até 50000	37512
1100205	Norte	11	RO	PORTO VELHO	7 - Maior que 500000	502748
1100254	Norte	11	RO	PRESIDENTE MEDICI	4 - 20001 até 50000	22557
1100262	Norte	11	RO	RIO CRESPO	1 - Até 5000	3750
1100288	Norte	11	RO	ROLIM DE MOURA	5 - 50001 até 100000	56242
1100296	Norte	11	RO	SANTA LUZIA D'OESTE	2 - 5001 até 10000	8532
1100304	Norte	11	RO	VILHENA	5 - 50001 até 100000	91801
1100320	Norte	11	RO	SAO MIGUEL DO GUAPORE	4 - 20001 até 50000	23933
1100338	Norte	11	RO	NOVA MAMORE	4 - 20001 até 50000	27600
1100346	Norte	11	RO	ALVORADA D'OESTE	3 - 10001 até 20000	17063
1100379	Norte	11	RO	ALTO ALEGRE DOS PARECIS	3 - 10001 até 20000	13940
1100403	Norte	11	RO	ALTO PARAISO	4 - 20001 até 50000	20210
1100452	Norte	11	RO	BURITIS	4 - 20001 até 50000	37838
1100502	Norte	11	RO	NOVO HORIZONTE DO OESTE	3 - 10001 até 20000	10276
1100601	Norte	11	RO	CACAULANDIA	2 - 5001 até 10000	6367
1100700	Norte	11	RO	CAMPO NOVO DE RONDONIA	3 - 10001 até 20000	14220
1100809	Norte	11	RO	CANDEIAS DO JAMARI	4 - 20001 até 50000	24155
1100908	Norte	11	RO	CASTANHEIRAS	1 - Até 5000	3617
1100924	Norte	11	RO	CHUPINGUAIA	3 - 10001 até 20000	10129
1100940	Norte	11	RO	CUJUBIM	4 - 20001 até 50000	20974
1101005	Norte	11	RO	GOVERNADOR JORGE TEIXEIRA	3 - 10001 até 20000	10127
1101104	Norte	11	RO	ITAPUA DO OESTE	2 - 5001 até 10000	9995
1101203	Norte	11	RO	MINISTRO ANDREAZZA	3 - 10001 até 20000	10823
1101302	Norte	11	RO	MIRANTE DA SERRA	3 - 10001 até 20000	12360
1101401	Norte	11	RO	MONTE NEGRO	3 - 10001 até 20000	15873
1101435	Norte	11	RO	NOVA UNIAO	2 - 5001 até 10000	7824
1101450	Norte	11	RO	PARECIS	2 - 5001 até 10000	5697
1101468	Norte	11	RO	PIMENTEIRAS DO OESTE	1 - Até 5000	2424
1101476	Norte	11	RO	PRIMAVERA DE RONDONIA	1 - Até 5000	3501
1101484	Norte	11	RO	SAO FELIPE D'OESTE	2 - 5001 até 10000	6103
1101492	Norte	11	RO	SAO FRANCISCO DO GUAPORE	3 - 10001 até 20000	19002
1101500	Norte	11	RO	SERINGUEIRAS	3 - 10001 até 20000	12581
1101559	Norte	11	RO	TEIXEIROPOLIS	2 - 5001 até 10000	5003
1101609	Norte	11	RO	THEOBROMA	3 - 10001 até 20000	11347
1101708	Norte	11	RO	URUPA	3 - 10001 até 20000	13293
1101757	Norte	11	RO	VALE DO ANARI	3 - 10001 até 20000	10843
1101807	Norte	11	RO	VALE DO PARAISO	2 - 5001 até 10000	8231
1200013	Norte	12	AC	ACRELANDIA	3 - 10001 até 20000	13869
