A1	Codigouf	Codigomunicipio	Nome	A118	A119	A120	A121	A122	A123	A124	A125	A126	A127	A128	A129	A130	A131	A132	A133	A134	A135	A136	A137	A138	A139
3114204	31	14204	CARMO DO CAJURU	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3114303	31	14303	CARMO DO PARANAIBA	Sim	Não	Não	Sim	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3114402	31	14402	CARMO DO RIO CLARO	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Sim
3114501	31	14501	CARMOPOLIS DE MINAS	Não contratou	-	-	-	-	-	-	Sim	Sim	Não	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3114550	31	14550	CARNEIRINHO	Sim	Não	Não	Sim	Não	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Não	Sim	Sim	Sim	Sim
3114600	31	14600	CARRANCAS	Sim	Sim	Não	Não	Não	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim
3114709	31	14709	CARVALHOPOLIS	Sim	Não	Sim	Não	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Sim
3114808	31	14808	CARVALHOS	Sim	Não	Sim	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Sim	Sim
3114907	31	14907	CASA GRANDE	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim
3115003	31	15003	CASCALHO RICO	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Sim
3115102	31	15102	CASSIA	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim
3115201	31	15201	CONCEICAO DA BARRA DE MINAS	Não contratou	-	-	-	-	-	-	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3115300	31	15300	CATAGUASES	Sim	Não	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Não	Sim	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim
3115359	31	15359	CATAS ALTAS	Sim	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Não	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Sim
3115409	31	15409	CATAS ALTAS DA NORUEGA	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Não	Sim	Sim	Sim
3115458	31	15458	CATUJI	Sim	Não	Não	Não	Sim	Não	Sim	Sim	Não	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3115474	31	15474	CATUTI	Sim	Não	Não	Sim	Sim	Não	Sim	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3115508	31	15508	CAXAMBU	Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3115607	31	15607	CEDRO DO ABAETE	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Sim	Sim	Sim
3115706	31	15706	CENTRAL DE MINAS	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Não	Sim	Sim	Sim
3115805	31	15805	CENTRALINA	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Não	Sim	Não
3115904	31	15904	CHACARA	Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	Não	Sim	Não	Não	Sim	Não	Sim	Não
3116001	31	16001	CHALE	Sim	Não	Não	Sim	Não	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3116100	31	16100	CHAPADA DO NORTE	Sim	Não	Não	Sim	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Não	Não	Sim	Sim	Sim	Sim
3116159	31	16159	CHAPADA GAUCHA	Não contratou	-	-	-	-	-	-	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
3116209	31	16209	CHIADOR	Sim	Não	Não	Não	Sim	Não	Não	Sim	Sim	Não	Não	Não	Não	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim
3116308	31	16308	CIPOTANEA	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Sim	Sim	Sim
3116407	31	16407	CLARAVAL	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim
3116506	31	16506	CLARO DOS POCOES	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Sim	Sim	Não
3116605	31	16605	CLAUDIO	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
