A1	Codigouf	Codigomunicipio	Nome	A118	A119	A120	A121	A122	A123	A124	A125	A126	A127	A128	A129	A130	A131	A132	A133	A134	A135	A136	A137	A138	A139
1100015	11	15	ALTA FLORESTA DOESTE	Sim	Sim	Não	Não	Não	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Não	Não	Sim	Sim	Sim	Sim
1100023	11	23	ARIQUEMES	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Não	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1100031	11	31	CABIXI	Sim	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1100049	11	49	CACOAL	Sim	Não	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Não	Sim	Sim	Sim	Não	Sim
1100056	11	56	CEREJEIRAS	Sim	Não	Não	Não	Não	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim
1100064	11	64	COLORADO DO OESTE	Sim	Não	Não	Não	Sim	Não	Não	Sim	Não	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1100072	11	72	CORUMBIARA	Sim	Não	Não	Não	Não	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1100080	11	80	COSTA MARQUES	Sim	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim
1100098	11	98	ESPIGAO D'OESTE	Não contratou	-	-	-	-	-	-	Nenhuma atividade	-	-	-	-	-	-	-	Nenhuma atividade	-	-	-	-	-	-
1100106	11	106	GUAJARA-MIRIM	Não contratou	-	-	-	-	-	-	Sim	Sim	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1100114	11	114	JARU	Não contratou	-	-	-	-	-	-	Sim	Sim	Não	Não	Não	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-
1100122	11	122	JI-PARANA	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1100130	11	130	MACHADINHO D'OESTE	Sim	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Não	Não	Sim	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim
1100148	11	148	NOVA BRASILANDIA D'OESTE	Não contratou	-	-	-	-	-	-	Sim	Não	Sim	Não	Não	Não	Não	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim
1100155	11	155	OURO PRETO DO OESTE	Sim	Sim	Não	Não	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Não	Sim	Sim	Sim	Sim	Sim
1100189	11	189	PIMENTA BUENO	Não contratou	-	-	-	-	-	-	Sim	Sim	Sim	Não	Não	Não	Sim	Sim	Não sabe informar	-	-	-	-	-	-
1100205	11	205	PORTO VELHO	Não contratou	-	-	-	-	-	-	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Não	Não	Sim	Sim	Sim	Sim
1100254	11	254	PRESIDENTE MEDICI	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1100262	11	262	RIO CRESPO	Não contratou	-	-	-	-	-	-	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Não	Sim	Sim	Sim	Sim	Sim
1100288	11	288	ROLIM DE MOURA	Não sabe informar	-	-	-	-	-	-	Sim	Sim	Sim	Não	Não	Não	Sim	Não	Sim	Não	Não	Não	Sim	Sim	Não
1100296	11	296	SANTA LUZIA D'OESTE	Sim	Não	Não	Não	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Não	Sim	Sim	Sim	Sim
1100304	11	304	VILHENA	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim
1100320	11	320	SAO MIGUEL DO GUAPORE	Sim	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim
1100338	11	338	NOVA MAMORE	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Não
1100346	11	346	ALVORADA D'OESTE	Sim	Não	Não	Não	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1100379	11	379	ALTO ALEGRE DOS PARECIS	Sim	Não	Não	Sim	Não	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1100403	11	403	ALTO PARAISO	Sim	Não	Não	Não	Não	Não	Sim	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Não	Sim	Sim	Sim	Sim
1100452	11	452	BURITIS	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1100502	11	502	NOVO HORIZONTE DO OESTE	Sim	Não	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim
1100601	11	601	CACAULANDIA	Não contratou	-	-	-	-	-	-	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Não	Sim	Sim	Sim	Sim
1100700	11	700	CAMPO NOVO DE RONDONIA	Sim	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1100809	11	809	CANDEIAS DO JAMARI	Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	Não	Não	Sim	Não	Não	Não	Não	Não	Sim
1100908	11	908	CASTANHEIRAS	Sim	Não	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1100924	11	924	CHUPINGUAIA	Não contratou	-	-	-	-	-	-	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Sim	Sim	Sim
1100940	11	940	CUJUBIM	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Sim	Não	Não	Não	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim
1101005	11	1005	GOVERNADOR JORGE TEIXEIRA	Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim
1101104	11	1104	ITAPUA DO OESTE	Sim	Não	Não	Sim	Não	Não	Sim	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Não	Sim	Sim	Sim	Sim	Sim
1101203	11	1203	MINISTRO ANDREAZZA	Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1101302	11	1302	MIRANTE DA SERRA	Sim	Sim	Não	Sim	Não	Não	Sim	Sim	Não	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1101401	11	1401	MONTE NEGRO	Sim	Não	Não	Não	Não	Não	Sim	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Não	Não	Não	Sim	Sim	Sim
1101435	11	1435	NOVA UNIAO	Sim	Não	Não	Não	Sim	Não	Não	Sim	Não	Não	Não	Não	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim
1101450	11	1450	PARECIS	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim
1101468	11	1468	PIMENTEIRAS DO OESTE	Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1101476	11	1476	PRIMAVERA DE RONDONIA	Sim	Não	Não	Não	Não	Não	Sim	Sim	Não	Sim	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1101484	11	1484	SAO FELIPE D'OESTE	Sim	Sim	Não	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1101492	11	1492	SAO FRANCISCO DO GUAPORE	Sim	Não	Não	Não	Sim	Sim	Sim	Sim	Não	Sim	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Não
1101500	11	1500	SERINGUEIRAS	Não contratou	-	-	-	-	-	-	Sim	Não	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Sim	Não	Não
1101559	11	1559	TEIXEIROPOLIS	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim
1101609	11	1609	THEOBROMA	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1101708	11	1708	URUPA	Sim	Não	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim	Sim
1101757	11	1757	VALE DO ANARI	Sim	Não	Não	Não	Sim	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1101807	11	1807	VALE DO PARAISO	Sim	Não	Não	Não	Não	Não	Sim	Sim	Não	Sim	Não	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Não
1200013	12	13	ACRELANDIA	Não sabe informar	-	-	-	-	-	-	Sim	Sim	Sim	Sim	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Sim	Sim	Não
1200054	12	54	ASSIS BRASIL	Sim	Não	Não	Sim	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1200104	12	104	BRASILEIA	Sim	Sim	Não	Sim	Não	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1200138	12	138	BUJARI	Sim	Não	Não	Não	Sim	Não	Sim	Sim	Não	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1200179	12	179	CAPIXABA	Sim	Não	Não	Sim	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1200203	12	203	CRUZEIRO DO SUL	Sim	Não	Não	Não	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Não	Não	Sim	Sim	Sim	Sim
1200252	12	252	EPITACIOLANDIA	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1200302	12	302	FEIJO	Sim	Não	Não	Não	Sim	Não	Não	Sim	Não	Sim	Não	Sim	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim
1200328	12	328	JORDAO	Sim	Não	Não	Não	Não	Não	Sim	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Não	Não	Não	Sim	Sim	Sim
1200336	12	336	MANCIO LIMA	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Não	Não	Não	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Sim
1200344	12	344	MANOEL URBANO	Sim	Não	Não	Não	Não	Não	Sim	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1200351	12	351	MARECHAL THAUMATURGO	Sim	Não	Não	Sim	Sim	Sim	Não	Sim	Não	Não	Não	Sim	Sim	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim
1200385	12	385	PLACIDO DE CASTRO	Sim	Sim	Não	Sim	Sim	Sim	Sim	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1200393	12	393	PORTO WALTER	Sim	Não	Não	Não	Não	Sim	Sim	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Sim	Sim	Sim	Não	Sim
1200401	12	401	RIO BRANCO	Sim	Sim	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1200427	12	427	RODRIGUES ALVES	Sim	Não	Não	Não	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1200435	12	435	SANTA ROSA DO PURUS	Sim	Não	Não	Sim	Não	Não	Sim	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Não	Sim	Sim	Sim	Sim	Sim
1200450	12	450	SENADOR GUIOMARD	Sim	Não	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1200500	12	500	SENA MADUREIRA	Sim	Sim	Sim	Não	Sim	Não	Sim	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Não	Sim	Sim	Sim	Sim
1200609	12	609	TARAUACA	Sim	Sim	Não	Não	Não	Não	Não	Sim	Não	Não	Não	Não	Sim	Não	Não	Sim	Não	Sim	Sim	Não	Sim	Sim
1200708	12	708	XAPURI	Sim	Não	Não	Não	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Não	Sim	Sim	Sim	Sim
1200807	12	807	PORTO ACRE	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1300029	13	29	ALVARAES	Sim	Não	Não	Sim	Sim	Não	Não	Não sabe informar	-	-	-	-	-	-	-	Sim	Sim	Sim	Não	Sim	Sim	Sim
1300060	13	60	AMATURA	Sim	Não	Não	Sim	Sim	Não	Não	Não sabe informar	-	-	-	-	-	-	-	Sim	Não	Não	Sim	Não	Sim	Sim
1300086	13	86	ANAMA	Sim	Não	Não	Sim	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Não	Não	Não	Não	Sim	Não
1300102	13	102	ANORI	Sim	Não	Não	Sim	Sim	Não	Sim	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Não	Não	Sim	Sim	Não
1300144	13	144	APUI	Sim	Não	Não	Não	Sim	Não	Não	Sim	Sim	Não	Não	Não	Não	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Sim
1300201	13	201	ATALAIA DO NORTE	Sim	Sim	Não	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Não	Sim	Não	Não	Sim	Não	Não	Sim	Não	Sim	Sim
1300300	13	300	AUTAZES	Sim	Não	Não	Sim	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Não	Sim	Não	Sim	Sim	Sim
1300409	13	409	BARCELOS	Sim	Sim	Sim	Sim	Sim	Não	Sim	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Sim	Não	Sim	Sim	Sim
1300508	13	508	BARREIRINHA	Sim	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Sim
1300607	13	607	BENJAMIN CONSTANT	Sim	Sim	Não	Sim	Sim	Não	Sim	Sim	Sim	Não	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1300631	13	631	BERURI	Não contratou	-	-	-	-	-	-	Sim	Sim	Não	Não	Não	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim
1300680	13	680	BOA VISTA DO RAMOS	Sim	Não	Não	Sim	Sim	Sim	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1300706	13	706	BOCA DO ACRE	Sim	Não	Sim	Não	Sim	Não	Sim	Não sabe informar	-	-	-	-	-	-	-	Sim	Sim	Não	Não	Não	Sim	Sim
1300805	13	805	BORBA	Sim	Não	Não	Sim	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Sim	Não	Sim	Sim	Sim
1300839	13	839	CAAPIRANGA	Sim	Não	Não	Não	Sim	Não	Não	Sim	Não	Não	Não	Não	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Sim
1300904	13	904	CANUTAMA	Sim	Não	Não	Sim	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Não	Sim	Sim	Sim
1301001	13	1001	CARAUARI	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Não	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1301100	13	1100	CAREIRO	Sim	Não	Não	Não	Sim	Não	Não	Sim	Não	Não	Não	Não	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Sim
1301159	13	1159	CAREIRO DA VARZEA	Não contratou	-	-	-	-	-	-	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1301209	13	1209	COARI	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Não	Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim
1301308	13	1308	CODAJAS	Sim	Não	Não	Sim	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Sim	Não	Sim	Sim	Não
1301407	13	1407	EIRUNEPE	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Não	Sim	Não	Não	Sim	Não	Não	Não	Não	Sim	Sim
1301506	13	1506	ENVIRA	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim	Sim	Não	Não	Sim	Não	Sim	Sim
1301605	13	1605	FONTE BOA	Sim	Não	Não	Sim	Não	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Não	Não	Não	Sim	Não
1301654	13	1654	GUAJARA	Sim	Não	Não	Sim	Sim	Não	Sim	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Sim	Não	Não	Não	Não
1301704	13	1704	HUMAITA	Não contratou	-	-	-	-	-	-	Sim	Não	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1301803	13	1803	IPIXUNA	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Sim	Sim	Sim
1301852	13	1852	IRANDUBA	Sim	Não	Sim	Não	Sim	Não	Não	Sim	Sim	Não	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1301902	13	1902	ITACOATIARA	Sim	Não	Não	Não	Sim	Não	Não	Sim	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1301951	13	1951	ITAMARATI	Não contratou	-	-	-	-	-	-	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Não	Não	Não	Não	Não	Sim
1302009	13	2009	ITAPIRANGA	Sim	Não	Não	Sim	Não	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Sim	Não	Sim	Sim	Não
1302108	13	2108	JAPURA	Sim	Sim	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Não	Sim	Sim
1302207	13	2207	JURUA	Sim	Não	Não	Sim	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Não	Não	Sim	Sim	Sim	Sim
1302306	13	2306	JUTAI	Sim	Não	Sim	Sim	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Não	Não	Não	Sim	Sim
1302405	13	2405	LABREA	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Não	Não	Não	Não	Não	Sim	Sim	Não	Não	Não	Não	Sim	Sim
1302504	13	2504	MANACAPURU	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Não	Sim	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Sim
1302553	13	2553	MANAQUIRI	Sim	Não	Não	Sim	Não	Não	Não	Sim	Não	Sim	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Não	Não	Sim	Sim
1302603	13	2603	MANAUS	Não contratou	-	-	-	-	-	-	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim	Sim	Não	Não	Não	Sim	Sim	Sim
1302702	13	2702	MANICORE	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Não	Sim	Sim	Não
1302801	13	2801	MARAA	Sim	Sim	Não	Sim	Sim	Não	Não	Sim	Não	Não	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Sim
1302900	13	2900	MAUES	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Sim	Sim	Sim
1303007	13	3007	NHAMUNDA	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim	Não	Não	Não	Não	Não	Sim	Não	Sim	Não	Sim	Sim	Sim
1303106	13	3106	NOVA OLINDA DO NORTE	Sim	Não	Não	Sim	Sim	Sim	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Não	Não	Sim	Sim	Sim
1303205	13	3205	NOVO AIRAO	Sim	Não	Não	Sim	Sim	Não	Sim	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Não	Não	Sim	Sim	Sim	Sim
1303304	13	3304	NOVO ARIPUANA	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Não	Não	Sim	Não	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Sim
1303403	13	3403	PARINTINS	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Não	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1303502	13	3502	PAUINI	Sim	Não	Não	Não	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Não	Não	Não	Não	Sim	Sim
1303536	13	3536	PRESIDENTE FIGUEIREDO	Sim	Sim	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1303569	13	3569	RIO PRETO DA EVA	Não contratou	-	-	-	-	-	-	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Não	Não	Sim	Não	Sim	Sim
1303601	13	3601	SANTA ISABEL DO RIO NEGRO	Sim	Sim	Não	Sim	Não	Não	Não	Sim	Não	Sim	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim	Não	Sim	Sim	Não
1303700	13	3700	SANTO ANTONIO DO ICA	Sim	Sim	Sim	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1303809	13	3809	SAO GABRIEL DA CACHOEIRA	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Não	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1303908	13	3908	SAO PAULO DE OLIVENCA	Sim	Sim	Não	Sim	Não	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Sim	Não	Não	Sim	Sim
1303957	13	3957	SAO SEBASTIAO DO UATUMA	Sim	Não	Sim	Não	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1304005	13	4005	SILVES	Sim	Não	Não	Sim	Não	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Não	Não	Sim	Sim	Sim
1304062	13	4062	TABATINGA	Sim	Sim	Sim	Sim	Não	Não	Não	Sim	Não	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Sim
1304104	13	4104	TAPAUA	Sim	Não	Não	Sim	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Sim	Não	Sim	Sim	Sim
1304203	13	4203	TEFE	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Sim	Não	Sim	Não	Sim	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1304237	13	4237	TONANTINS	Sim	Sim	Sim	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Não	Sim	Sim	Sim
1304260	13	4260	UARINI	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Não	Não	Sim	Sim
1304302	13	4302	URUCARA	Sim	Não	Não	Sim	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1304401	13	4401	URUCURITUBA	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Sim	Não	Não	Sim	Sim	Sim	Sim	Sim	Não	Sim	Não	Não	Sim	Sim
1400027	14	27	AMAJARI	Sim	Não	Não	Sim	Sim	Não	Sim	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Sim	Não	Sim	Sim	Sim
1400050	14	50	ALTO ALEGRE	Sim	Não	Não	Sim	Sim	Sim	Não	Sim	Sim	Sim	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1400100	14	100	BOA VISTA	Sim	Não	Sim	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim	Sim
1400159	14	159	BONFIM	Sim	Não	Não	Sim	Sim	Não	Não	Sim	Não	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1400175	14	175	CANTA	Sim	Sim	Não	Sim	Sim	Não	Sim	Sim	Não	Não	Não	Não	Sim	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1400209	14	209	CARACARAI	Sim	Não	Sim	Sim	Sim	Não	Não	Sim	Não	Não	Não	Não	Sim	Não	Sim	Sim	Não	Sim	Sim	Sim	Sim	Sim
1400233	14	233	CAROEBE	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Não	Não	Não	Sim	Não	Não	Sim	Sim	Sim	Não	Sim	Sim	Sim
1400282	14	282	IRACEMA	Sim	Não	Não	Sim	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Sim	Não	Sim	Sim	Sim
1400308	14	308	MUCAJAI	Sim	Sim	Não	Não	Sim	Não	Sim	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Não	Sim	Sim	Sim	Sim
1400407	14	407	NORMANDIA	Sim	Não	Não	Não	Sim	Não	Não	Nenhuma atividade	-	-	-	-	-	-	-	Sim	Sim	Sim	Sim	Sim	Sim	Sim
1400456	14	456	PACARAIMA	Sim	Não	Não	Sim	Sim	Não	Sim	Sim	Não	Não	Não	Sim	Sim	Não	Não	Sim	Sim	Sim	Sim	Sim	Sim	Sim
